Variation %,Prix Final,Payoff,Profit/Perte
-50%,$141.55,$141.55,$120.85
-45%,$155.71,$127.40,$106.70
-40%,$169.86,$113.24,$92.54
-35%,$184.02,$99.09,$78.39
-30%,$198.17,$84.93,$64.23
-25%,$212.33,$70.78,$50.08
-20%,$226.48,$56.62,$35.92
-15%,$240.64,$42.47,$21.77
-10%,$254.79,$28.31,$7.61
-5%,$268.95,$14.16,$-6.54
0%,$283.10,$0.00,$-20.70
5%,$297.26,$14.16,$-6.54
10%,$311.41,$28.31,$7.61
15%,$325.57,$42.47,$21.77
20%,$339.72,$56.62,$35.92
25%,$353.88,$70.78,$50.08
30%,$368.03,$84.93,$64.23
35%,$382.19,$99.09,$78.39
40%,$396.34,$113.24,$92.54
45%,$410.50,$127.40,$106.70
50%,$424.65,$141.55,$120.85
